source_url,destination_path,status_code,category,topic_or_cohort,clicks,impressions,position,backlinks,priority,confidence,manual_review
https://www.celebios.com/gen2018felidos,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/rehabilitacion,/diplomado-rescate-rehabilitacion-fauna,301,curso_historico,rehabilitacion,,,,,media,alta,false
https://www.celebios.com/felidos-marquez-sanchez,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/montserratmonterrosales,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/felidos-hernandez-osorno,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/blank,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/felidos-hernandez-lopez,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/marquez-sanchez,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/alejandrajosefinacrespogarza,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/monroy-olvera-2017,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/imagenfauna2023,/cursos,301,curso_historico,imagenologia,,,,,media,alta,false
https://www.celebios.com/carlososcarparraguirrediaz,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/tapia-colin-fauna,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/martinez-castanon-2017,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/christiana-cordoba-herrera,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/campos-manzanares-2017,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/felidos-solar-macuada,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/manejo-conductual-2022,/cursos/manejo-conductual-fauna,301,curso_historico,conductual,,,,,media,alta,false
https://www.celebios.com/formato-ingreso,/cursos,301,curso_historico,admision,,,,,media,alta,false
https://www.celebios.com/seleneasiulbarbabedolla,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/mariadelcisneortegaerreis,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/nataliaesubiaramos,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/paolaramirezgarcia,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/inscripcion-codigoabierto,/cursos,301,curso_historico,cohorte-historica,,,,,media,media,false
https://www.celebios.com/felidos,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/felidos-aguilar-mendez,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/espinosa-leon-2016,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/tzuc-salinas-2016,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/ponce-guzman-2017,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/rodriguez-gonzalez-fauna,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/emmacarolinapachecomeneses,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/felidos-covarrubias-mandujano,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/gen2018ortopediaaves,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/ortopedia-aves-2021,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/felidos-cornejo-martinez,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/felidos-ordonez-godoy,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/miguelahernandezrodriguez,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/ortopedia-alvarez-castro,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/valeriabgonzalezvelazquez,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/rehabilitacion-fauna-2025,/diplomado-rescate-rehabilitacion-fauna,301,curso_historico,rehabilitacion,,,,,media,alta,false
https://www.celebios.com/felidos-perez-castelazo,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/cervantes-gomez-2017,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/felidos-baldenegro-marquez,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/ignacioarredondomarquez,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/felidos-martinez-castanon,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/diagnostico-terapeutica-2020,/cursos,301,curso_historico,diagnostico-terapeutica,,,,,media,alta,false
https://www.celebios.com/nutricion-2021,/cursos/nutricion-fauna-cautiverio,301,curso_historico,nutricion,,,,,media,alta,false
https://www.celebios.com/ortopedia-velazquez-munoz,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/sandyquirosbeita,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/inscripcion-medicina-preventiva,/cursos,301,curso_historico,medicina-preventiva,,,,,media,alta,false
https://www.celebios.com/lilianasuarezramirez,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/impacto-ambiental,/cursos,301,curso_historico,impacto-ambiental,,,,,media,alta,false
https://www.celebios.com/copia-de-copia-de-copia-de-copia-de-18,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/amandanatashaeliopulosnaya,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/felidos-thomas-najera,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/galindo-perez-2016,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/ortopedia-diez-tascon,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/cursos,/cursos,301,curso_historico,catalogo,,,,,media,alta,false
https://www.celebios.com/butron-garcia,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/gen2018faunadxtx,/cursos,301,curso_historico,cohorte-historica,,,,,media,media,false
https://www.celebios.com/zulmaasotoguerrero,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/fundamentos-sig-2021,/cursos,301,curso_historico,sig-cartografia,,,,,media,alta,false
https://www.celebios.com/elenamariaechandiherrera-1,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/inscripcion,/cursos,301,curso_historico,cohorte-historica,,,,,media,media,false
